round,clean_acc,clean_acc_percent,checkpoint_path,elapsed_seconds
335,0.5761,57.60999999999999,,4356.747196674347
336,0.5791,57.91,,4369.7647342681885
337,0.5835,58.35,,4382.770480155945
338,0.5861,58.60999999999999,,4395.787504911423
339,0.5856,58.56,,4408.815407752991
340,0.5822,58.220000000000006,,4421.838119506836
341,0.5858,58.58,,4434.8566198349
342,0.5901,59.01,,4447.896390676498
343,0.5894,58.940000000000005,,4460.930754899979
344,0.584,58.4,,4473.962410926819
345,0.578,57.8,,4486.979316949844
346,0.5853,58.53,,4499.991224765778
347,0.5869,58.69,,4513.024428606033
348,0.5856,58.56,,4526.066521883011
349,0.5871,58.709999999999994,,4539.091688156128
350,0.5872,58.720000000000006,,4552.09668803215
351,0.5933,59.330000000000005,,4565.1065175533295
352,0.5939,59.39,,4578.139848470688
353,0.5912,59.12,,4591.170163393021
354,0.5913,59.13,,4604.190789699554
355,0.5919,59.19,,4617.197543859482
356,0.5828,58.28,,4630.271158456802
357,0.5691,56.910000000000004,,4643.331720590591
358,0.5689,56.88999999999999,,4656.374061346054
359,0.5872,58.720000000000006,,4669.378801584244
360,0.5869,58.69,,4682.412215948105
361,0.5822,58.220000000000006,,4695.489195585251
362,0.5898,58.98,,4708.510558843613
363,0.5831,58.309999999999995,,4721.52309346199
364,0.5834,58.34,,4734.567512512207
365,0.5861,58.60999999999999,,4747.586218357086
366,0.5899,58.989999999999995,,4760.629120349884
367,0.5837,58.37,,4773.650158405304
368,0.5921,59.209999999999994,,4786.642533302307
369,0.5975,59.75,,4799.649522781372
370,0.5916,59.160000000000004,,4812.694783210754
371,0.5942,59.419999999999995,,4825.759475708008
372,0.5964,59.64,,4838.81717133522
373,0.59,59.0,,4851.86376786232
374,0.5924,59.24,,4864.889032125473
375,0.5908,59.08,,4877.931755304337
376,0.5894,58.940000000000005,,4890.95069360733
377,0.5874,58.74,,4903.97983956337
378,0.5932,59.31999999999999,,4917.027974843979
379,0.5986,59.86,,4930.038689851761
380,0.59,59.0,,4943.086834430695
381,0.593,59.3,,4956.131524324417
382,0.5943,59.43000000000001,,4969.173637866974
383,0.5943,59.43000000000001,,4982.223490715027
384,0.5958,59.58,,4995.257612466812
385,0.5988,59.88,,5008.285885810852
386,0.597,59.699999999999996,,5021.305986881256
387,0.5972,59.72,,5034.326585769653
388,0.5941,59.41,,5047.358037233353
389,0.5984,59.84,,5060.388327598572
390,0.5885,58.85,,5073.394869089127
391,0.5975,59.75,,5086.442055940628
392,0.5971,59.709999999999994,,5099.455484390259
393,0.6031,60.309999999999995,,5112.477486610413
394,0.5969,59.69,,5125.5040464401245
395,0.5982,59.81999999999999,,5138.569519519806
396,0.6008,60.08,,5151.584445953369
397,0.5913,59.13,,5164.621901750565
398,0.5941,59.41,,5177.656731367111
399,0.5977,59.77,,5190.668792724609
400,0.5969,59.69,/home/kemove/zlf/FedSGD2/results/table_iv_ours_main1_aligned_seed1_r1000_fromscratch/checkpoints/round_0400.pth,5203.708460330963
401,0.6072,60.72,,5216.719375610352
402,0.6021,60.209999999999994,,5229.769248962402
403,0.6046,60.46,,5242.803401231766
404,0.6044,60.440000000000005,,5255.837171077728
405,0.6036,60.36,,5268.862874746323
406,0.6039,60.39,,5281.907623529434
407,0.6058,60.58,,5294.914471387863
408,0.611,61.1,,5307.953150510788
409,0.6108,61.08,,5320.967185974121
410,0.6042,60.419999999999995,,5334.01970744133
411,0.6114,61.14000000000001,,5347.034249305725
412,0.6117,61.17,,5360.107544660568
413,0.6144,61.44,,5373.144134283066
414,0.6094,60.940000000000005,,5386.168855667114
415,0.6141,61.41,,5399.207739114761
416,0.6127,61.27,,5412.259119272232
417,0.6132,61.31999999999999,,5425.28093290329
418,0.6111,61.11,,5438.331747055054
419,0.6068,60.68,,5451.3646359443665
420,0.5994,59.940000000000005,,5464.393251657486
421,0.5898,58.98,,5477.411650657654
422,0.5984,59.84,,5490.42644071579
423,0.6125,61.25000000000001,,5503.455077648163
424,0.5983,59.830000000000005,,5516.500778913498
425,0.6071,60.709999999999994,,5529.540691375732
426,0.6054,60.540000000000006,,5542.555454492569
427,0.6041,60.41,,5555.605091810226
428,0.6041,60.41,,5568.637187957764
429,0.6126,61.260000000000005,,5581.6669998168945
430,0.6106,61.06,,5594.715103387833
431,0.6085,60.85,,5607.7703585624695
432,0.6086,60.86,,5620.822149515152
433,0.6031,60.309999999999995,,5633.853127717972
434,0.5988,59.88,,5646.8566563129425
435,0.6076,60.760000000000005,,5659.83699798584
436,0.6136,61.36000000000001,,5672.849191904068
437,0.61,61.0,,5685.873550415039
438,0.6161,61.61,,5698.9033007621765
439,0.6094,60.940000000000005,,5711.899419546127
440,0.6166,61.660000000000004,,5724.946588754654
441,0.6126,61.260000000000005,,5738.001129627228
442,0.61,61.0,,5751.043665885925
443,0.6158,61.58,,5764.089639902115
444,0.6233,62.33,,5777.108702421188
445,0.6183,61.83,,5790.131972789764
446,0.6189,61.89,,5803.1582090854645
447,0.6187,61.870000000000005,,5816.186069488525
448,0.6177,61.77,,5829.206943035126
449,0.6153,61.529999999999994,,5842.253681182861
450,0.6223,62.23,,5855.27943277359
451,0.6208,62.08,,5868.323104143143
452,0.6202,62.019999999999996,,5881.345162630081
453,0.624,62.4,,5894.389039039612
454,0.6201,62.01,,5907.408363103867
455,0.6216,62.160000000000004,,5920.449484348297
456,0.6248,62.480000000000004,,5933.463432312012
457,0.6231,62.31,,5946.499381303787
458,0.6225,62.25000000000001,,5959.539089679718
459,0.6257,62.57,,5972.6157784461975
460,0.6228,62.28,,5985.632574558258
461,0.6224,62.239999999999995,,5998.660176515579
462,0.6226,62.260000000000005,,6011.685749530792
463,0.6229,62.29,,6024.721706390381
464,0.6232,62.32,,6037.702805280685
465,0.6217,62.17,,6050.704758882523
466,0.6184,61.839999999999996,,6063.743850469589
467,0.6226,62.260000000000005,,6076.771175146103
468,0.6205,62.050000000000004,,6089.783793210983
469,0.6207,62.07,,6102.783802270889
470,0.6257,62.57,,6115.811575174332
471,0.6244,62.44,,6128.818926811218
472,0.6201,62.01,,6141.835977077484
473,0.6182,61.82,,6154.8603620529175
474,0.6134,61.339999999999996,,6167.894786596298
475,0.6076,60.760000000000005,,6180.88996720314
476,0.5948,59.48,,6193.908227682114
477,0.6023,60.23,,6206.933839797974
478,0.5968,59.68,,6219.949200391769
479,0.6018,60.18,,6232.9423015117645
480,0.6185,61.85000000000001,,6245.966970682144
481,0.5737,57.37,,6258.999524354935
482,0.562,56.2,,6271.999378204346
483,0.5497,54.97,,6285.011262893677
